web-scraper-order,web-scraper-start-url,cards,cards-href,nom,prix,adresse,image_lien
"1752744528-44","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Jeune femelle  lavande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/jeune-femelle-lavande-1204935","Jeune femelle  lavande","20 000 CFA","Les Parcelles Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1204935_uploaded_image1_1573840898.61.png)"
"1752744530-45","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeons","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1209192","Pigeons","60 000 CFA","Pikine, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1209192_uploaded_image1_1573933592.0.png)"
"1752744533-46","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon à queue de paon indien","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-a-queue-de-paon-indien-1242200","Pigeon à queue de paon indien","20 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1242200_uploaded_image1_1574510941.51.png)"
"1752744535-47","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon fauve","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-fauve-1246480","Pigeon fauve","10 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1246480_uploaded_image1_1574613561.29.png)"
"1752744538-48","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon mondain","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-mondain-1247406","Pigeon mondain","20 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1247406_uploaded_image1_1574631655.88.png)"
"1752744540-49","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapereaux fauve","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-fauve-1261253","Lapereaux fauve","Prix sur demande","Ngor, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1261253_uploaded_image1_1574871227.98.png)"
"1752744543-50","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapins de race","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1291213","Lapins de race","70 000 CFA","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1291213_uploaded_image1_1575425609.27.png)"
"1752744545-51","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapins de race","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-de-race-1291215","Lapins de race","70 000 CFA","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1291215_uploaded_image1_1575425694.27.png)"
"1752744547-52","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-1291244","Lapin","25 000 CFA","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1291244_uploaded_image1_1575430604.21.png)"
"1752744550-53","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Dinde d'Amérique","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/dinde-damerique-1346036","Dinde d'Amérique","Prix sur demande","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1346036_uploaded_image1_1576462750.49.png)"
